level,retention_days,age,reg_source,address,income,education,total_orders,is_activity,sex,reside,tollfree,equip,callcard,wireless,longmon,tollmon,equipmon,cardmon,wiremon,longten,tollten,equipten,cardten,wireten,multline,voice,pager,internet,callid,callwait,forward,confer,ebill,loglong,logtoll,logequi,logcard,logwire,lninc,custcat,churn
1,68,52,1,17,120.000,1,24,0.000,0,2,0,0,1,0,20.700,0.000,0.000,22.000,0.000,1391.050,0.000,0.000,1505.000,0.000,0,0,0,0,0,0,1,0,0,3.030,null,null,3.091,null,4.787,1,0
3,53,33,0,10,101.000,5,4,0.000,1,2,0,1,1,1,5.300,0.000,49.600,26.750,51.400,253.350,0.000,2499.800,1340.000,2645.150,1,1,0,1,0,1,1,1,1,1.668,null,3.904,3.287,3.940,4.615,4,0
3,55,48,1,19,67.000,1,25,0.000,0,3,0,0,1,0,15.050,0.000,0.000,27.250,0.000,810.450,0.000,0.000,1390.000,0.000,0,0,0,0,0,0,0,0,0,2.711,null,null,3.305,null,4.205,1,0
3,14,43,1,18,36.000,1,5,0.000,0,5,1,0,1,0,12.500,19.750,0.000,18.000,0.000,153.750,273.750,0.000,215.000,0.000,0,0,0,0,1,1,1,1,0,2.526,2.983,null,2.890,null,3.584,3,0
2,1,21,0,0,33.000,2,0,0.000,1,3,1,0,1,0,2.200,20.750,0.000,40.500,0.000,2.200,20.750,0.000,40.500,0.000,0,0,0,0,0,1,1,1,0,0.788,3.033,null,3.701,null,3.497,3,0
2,42,40,0,7,37.000,2,8,0.000,1,1,1,1,1,1,8.250,23.500,36.900,28.000,37.400,399.150,950.650,1532.900,1190.000,1562.000,1,1,0,1,1,1,0,1,1,2.110,3.157,3.608,3.332,3.622,3.611,4,0
3,25,33,1,11,31.000,1,5,0.000,0,4,0,0,0,0,9.100,0.000,0.000,0.000,0.000,234.950,0.000,0.000,0.000,0.000,1,0,0,0,1,0,1,0,0,2.208,null,null,null,null,3.434,3,0
1,9,21,1,1,17.000,2,2,0.000,1,3,0,0,0,0,2.900,0.000,0.000,0.000,0.000,25.250,0.000,0.000,0.000,0.000,0,0,0,0,1,0,0,0,0,1.065,null,null,null,null,2.833,1,0
2,13,33,1,9,19.000,4,0,0.000,1,2,0,1,0,0,5.550,0.000,27.350,0.000,0.000,75.250,0.000,330.650,0.000,0.000,1,0,0,1,0,0,0,1,1,1.714,null,3.309,null,null,2.944,2,0
1,56,37,1,6,36.000,1,13,0.000,1,2,0,1,1,0,10.600,0.000,31.100,18.250,0.000,582.600,0.000,1756.350,1005.000,0.000,1,0,0,1,0,0,0,0,1,2.361,null,3.437,2.904,null,3.584,2,0
1,71,53,1,27,155.000,5,12,0.000,0,2,1,0,1,1,21.000,56.000,0.000,34.000,49.950,1519.200,4064.300,0.000,2345.000,3646.900,1,1,0,1,0,0,1,1,1,3.045,4.025,null,3.526,3.911,5.043,4,0
1,35,50,1,26,140.000,2,21,0.000,1,4,1,0,1,0,6.500,27.500,0.000,35.000,0.000,247.550,1068.250,0.000,1215.000,0.000,0,0,0,0,0,1,1,1,0,1.872,3.314,null,3.555,null,4.942,3,0
1,11,27,1,8,55.000,5,0,0.000,0,3,0,1,0,0,4.800,0.000,19.550,0.000,0.000,54.100,0.000,220.400,0.000,0.000,1,0,0,1,0,0,0,0,0,1.569,null,2.973,null,null,4.007,2,0
2,60,46,1,13,163.000,3,24,0.000,0,2,1,1,1,1,33.900,38.250,44.650,13.750,55.250,1947.950,2326.350,2645.850,840.000,3125.950,1,1,1,1,0,1,1,1,1,3.523,3.644,3.799,2.621,4.012,5.094,4,0
3,20,35,1,11,52.000,4,0,0.000,0,2,0,1,0,0,4.250,0.000,30.550,0.000,0.000,82.700,0.000,547.150,0.000,0.000,1,0,0,1,0,0,0,0,1,1.447,null,3.419,null,null,3.951,2,1
2,54,60,0,38,211.000,4,25,0.000,0,1,1,1,1,1,21.150,39.250,46.350,54.250,54.850,1228.700,2102.250,2421.300,2785.000,2895.850,1,1,1,1,1,0,0,1,1,3.052,3.670,3.836,3.994,4.005,5.352,4,0
1,44,57,1,1,186.000,2,17,0.000,0,2,1,0,1,1,9.800,33.500,0.000,36.000,41.650,428.250,1379.550,0.000,1535.000,1826.700,1,1,0,0,1,1,1,1,0,2.282,3.512,null,3.584,3.729,5.226,3,0
1,11,41,1,0,39.000,1,1,0.000,1,2,1,0,1,0,6.550,29.250,0.000,19.750,0.000,67.800,303.650,0.000,200.000,0.000,0,1,0,0,1,1,1,1,0,1.879,3.376,null,2.983,null,3.664,3,1
2,72,57,0,34,22.000,2,35,1.000,1,1,1,0,1,0,41.750,49.000,0.000,18.750,0.000,3043.050,3581.000,0.000,1360.000,0.000,1,0,0,0,1,1,1,1,0,3.732,3.892,null,2.931,null,3.091,3,0
3,10,41,0,7,30.000,1,7,0.000,0,1,1,0,1,0,2.500,19.250,0.000,53.750,0.000,31.250,178.200,0.000,490.000,0.000,0,0,0,0,1,1,1,1,0,0.916,2.958,null,3.984,null,3.401,3,0
2,15,28,0,0,29.000,2,4,0.000,1,1,1,0,1,0,4.250,30.000,0.000,17.750,0.000,78.000,426.050,0.000,255.000,0.000,0,0,0,0,1,1,1,1,0,1.447,3.401,null,2.876,null,3.367,3,0
2,27,28,1,4,23.000,2,8,0.000,0,5,0,0,0,0,6.200,0.000,0.000,0.000,0.000,180.150,0.000,0.000,0.000,0.000,0,0,0,0,1,0,0,0,0,1.825,null,null,null,null,3.135,1,0
1,9,36,1,14,62.000,4,10,0.000,0,6,0,1,0,1,5.650,0.000,46.750,0.000,48.500,43.300,0.000,386.600,0.000,364.850,1,1,1,1,0,0,0,1,1,1.732,null,3.845,null,3.882,4.127,4,1
1,64,43,1,20,76.000,4,20,0.000,1,4,1,0,1,0,14.700,18.750,0.000,11.000,0.000,897.050,1279.250,0.000,680.000,0.000,1,0,0,0,1,1,0,1,0,2.688,2.931,null,2.398,null,4.331,3,0
1,65,41,1,3,74.000,4,16,0.000,0,2,0,1,1,0,14.500,0.000,37.000,17.000,0.000,963.300,0.000,2263.050,1065.000,0.000,1,1,0,1,0,0,0,0,1,2.674,null,3.611,2.833,null,4.304,2,0
1,49,51,1,27,63.000,4,19,0.000,0,5,1,0,1,0,12.850,25.750,0.000,14.250,0.000,585.600,1278.450,0.000,635.000,0.000,1,0,0,1,0,1,0,0,1,2.553,3.248,null,2.657,null,4.143,2,0
3,47,41,1,0,36.000,4,8,0.000,0,2,0,1,1,1,7.750,0.000,37.450,18.500,38.800,361.000,0.000,1717.750,845.000,1730.400,1,0,1,1,0,1,0,1,1,2.048,null,3.623,2.918,3.658,3.584,4,1
3,9,34,1,9,33.000,2,8,0.000,1,4,0,1,0,0,2.950,0.000,22.950,0.000,0.000,18.900,0.000,208.550,0.000,0.000,0,0,0,0,0,0,0,0,0,1.082,null,3.133,null,null,3.497,1,1
1,5,36,0,14,29.000,2,9,0.000,1,1,1,0,1,1,3.250,31.500,0.000,15.500,26.750,16.800,154.650,0.000,60.000,98.600,0,0,0,1,1,1,1,1,1,1.179,3.450,null,2.741,3.287,3.367,3,1
2,30,34,1,4,27.000,2,1,0.000,0,5,0,1,0,0,6.300,0.000,22.500,0.000,0.000,150.900,0.000,690.750,0.000,0.000,0,0,0,1,0,0,0,0,0,1.841,null,3.114,null,null,3.296,1,1
1,56,52,1,28,49.000,2,12,0.000,0,4,0,0,1,0,24.750,0.000,0.000,22.250,0.000,1349.050,0.000,0.000,1215.000,0.000,1,0,0,0,0,0,0,0,0,3.209,null,null,3.102,null,3.892,2,0
3,10,22,0,0,24.000,4,0,0.000,0,1,1,1,1,1,7.800,23.750,37.250,22.500,30.050,63.000,222.550,330.400,185.000,306.300,1,1,1,1,1,1,1,1,1,2.054,3.168,3.618,3.114,3.403,3.178,4,0
1,7,26,1,3,26.000,2,2,0.000,0,5,1,0,0,0,4.850,15.500,0.000,0.000,0.000,33.700,136.550,0.000,0.000,0.000,0,0,0,0,0,1,0,0,0,1.579,2.741,null,null,null,3.258,1,0
1,52,27,0,6,47.000,3,5,0.000,0,2,1,0,1,0,6.250,18.500,0.000,14.250,0.000,330.400,942.650,0.000,725.000,0.000,0,0,0,0,1,0,0,0,1,1.833,2.918,null,2.657,null,3.850,1,0
2,36,45,1,1,94.000,2,18,0.000,1,5,1,1,0,0,7.200,15.750,28.350,0.000,0.000,258.750,553.800,1043.800,0.000,0.000,0,0,1,1,1,0,0,1,0,1.974,2.757,3.345,null,null,4.543,1,1
3,27,34,0,8,21.000,3,4,0.000,1,1,0,0,0,0,7.650,0.000,0.000,0.000,0.000,213.450,0.000,0.000,0.000,0.000,1,0,0,0,0,0,0,0,0,2.035,null,null,null,null,3.045,2,0
1,58,62,1,36,27.000,1,0,0.000,0,2,0,0,1,0,15.500,0.000,0.000,34.500,0.000,967.100,0.000,0.000,1910.000,0.000,0,0,0,0,0,0,0,0,0,2.741,null,null,3.541,null,3.296,1,0
2,41,52,0,27,30.000,2,2,0.000,1,1,1,0,1,1,10.400,28.000,0.000,19.000,27.500,447.850,1152.000,0.000,800.000,1036.650,0,0,0,0,1,1,1,1,0,2.342,3.332,null,2.944,3.314,3.401,3,0
2,47,40,1,16,127.000,4,12,0.000,1,4,0,1,1,0,19.700,0.000,28.150,14.750,0.000,909.900,0.000,1319.700,680.000,0.000,1,0,0,1,0,0,0,0,1,2.981,null,3.338,2.691,null,4.844,2,0
2,55,39,1,15,137.000,2,20,0.000,1,2,1,0,1,0,12.700,27.500,0.000,11.500,0.000,676.900,1505.200,0.000,620.000,0.000,0,1,0,0,1,1,1,1,0,2.542,3.314,null,2.442,null,4.920,3,1
2,56,50,1,1,80.000,2,24,0.000,1,4,1,0,1,1,28.800,55.500,0.000,21.250,61.100,1558.100,3119.450,0.000,1065.000,3268.050,1,1,1,0,1,1,1,1,0,3.360,4.016,null,3.056,4.113,4.382,4,0
3,35,55,0,24,30.000,2,2,0.000,0,1,0,0,1,0,10.250,0.000,0.000,15.750,0.000,395.850,0.000,0.000,550.000,0.000,0,0,0,0,0,0,0,0,0,2.327,null,null,2.757,null,3.401,1,0
2,69,51,1,11,438.000,4,23,0.000,1,2,0,1,1,0,29.000,0.000,47.050,24.750,0.000,1815.400,0.000,3064.150,1655.000,0.000,1,0,1,1,1,0,0,1,0,3.367,null,3.851,3.209,null,6.082,4,0
2,44,39,0,16,79.000,2,16,0.000,0,1,1,1,1,1,15.250,24.500,37.450,27.250,30.050,653.700,1037.450,1610.100,1110.000,1280.000,1,0,1,1,1,1,1,1,1,2.725,3.199,3.623,3.305,3.403,4.369,4,1
3,36,47,1,16,63.000,1,23,0.000,0,2,0,0,1,0,9.050,0.000,0.000,6.750,0.000,373.650,0.000,0.000,220.000,0.000,0,0,0,0,0,0,0,0,0,2.203,null,null,1.910,null,4.143,1,0
3,28,51,1,22,40.000,3,10,0.000,1,6,1,0,0,0,8.950,21.250,0.000,0.000,0.000,253.550,586.950,0.000,0.000,0.000,0,0,0,0,1,1,1,1,0,2.192,3.056,null,null,null,3.689,3,0
1,72,67,1,44,51.000,1,34,1.000,0,2,1,0,1,0,57.050,51.500,0.000,19.250,0.000,4168.250,3657.900,0.000,1345.000,0.000,1,0,0,0,1,1,1,1,0,4.044,3.942,null,2.958,null,3.932,3,0
1,16,27,0,5,37.000,3,5,0.000,0,4,0,0,0,0,6.000,0.000,0.000,0.000,0.000,80.700,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0,0,1.792,null,null,null,null,3.611,1,0
3,3,43,0,19,61.000,4,11,0.000,1,1,0,1,1,1,3.150,0.000,27.250,16.250,17.950,7.900,0.000,53.250,20.000,38.200,0,0,0,1,1,0,0,1,1,1.147,null,3.305,2.788,2.888,4.111,1,1
1,40,57,1,15,22.000,2,9,0.000,0,2,0,0,1,0,8.550,0.000,0.000,19.750,0.000,381.500,0.000,0.000,710.000,0.000,0,0,0,0,0,0,0,0,0,2.146,null,null,2.983,null,3.091,1,0
3,16,39,0,6,44.000,4,3,0.000,1,1,0,1,0,0,6.600,0.000,23.300,0.000,0.000,96.300,0.000,350.150,0.000,0.000,1,0,0,1,0,0,0,0,1,1.887,null,3.148,null,null,3.784,2,0
1,20,42,0,4,17.000,3,5,0.000,0,1,0,0,0,0,7.800,0.000,0.000,0.000,0.000,175.850,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0,0,2.054,null,null,null,null,2.833,1,0
2,48,43,0,13,110.000,5,15,0.000,1,3,0,1,0,1,7.250,0.000,33.500,0.000,20.650,359.350,0.000,1572.700,0.000,1010.400,1,1,0,1,0,0,0,0,1,1.981,null,3.512,null,3.028,4.700,2,0
2,64,48,1,13,91.000,2,24,0.000,0,2,1,0,1,1,24.500,24.750,0.000,12.500,29.650,1531.900,1569.250,0.000,780.000,1875.950,1,0,0,0,1,1,1,1,0,3.199,3.209,null,2.526,3.389,4.511,3,0
1,8,46,0,3,46.000,2,8,0.000,0,1,0,1,0,0,3.150,0.000,25.050,0.000,0.000,16.650,0.000,172.050,0.000,0.000,0,0,1,1,0,0,0,0,1,1.147,null,3.221,null,null,3.829,1,0
1,40,38,1,10,85.000,3,12,0.000,0,2,0,0,0,0,10.600,0.000,0.000,0.000,0.000,384.800,0.000,0.000,0.000,0.000,0,0,0,0,1,1,1,1,0,2.361,null,null,null,null,4.443,3,1
2,38,71,0,27,10.000,2,12,1.000,0,1,0,0,0,0,11.200,0.000,0.000,0.000,0.000,429.850,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,1,0,2.416,null,null,null,null,2.303,1,0
1,67,68,0,28,244.000,1,47,0.000,1,1,1,0,1,0,30.250,30.250,0.000,30.750,0.000,2186.200,2036.150,0.000,2105.000,0.000,0,1,0,0,1,1,1,1,0,3.409,3.409,null,3.426,null,5.497,3,0
1,26,42,0,0,80.000,4,15,0.000,1,1,1,1,1,1,7.850,44.000,49.600,10.500,43.750,196.650,1123.250,1159.350,250.000,1176.550,1,1,1,1,1,1,1,1,1,2.061,3.784,3.904,2.351,3.778,4.382,4,0
3,41,34,1,15,83.000,5,1,0.000,1,2,1,0,1,0,8.900,33.750,0.000,5.750,0.000,379.550,1404.450,0.000,220.000,0.000,1,1,1,1,1,1,1,1,0,2.186,3.519,null,1.749,null,4.419,4,0
2,2,31,0,2,21.000,1,6,0.000,0,1,0,1,0,0,1.650,0.000,21.600,0.000,0.000,3.200,0.000,17.250,0.000,0.000,0,0,0,0,0,0,0,1,0,0.501,null,3.073,null,null,3.045,1,1
3,20,48,1,29,24.000,2,3,0.000,0,2,1,0,1,0,11.850,22.500,0.000,35.000,0.000,230.700,452.750,0.000,675.000,0.000,1,1,1,0,1,1,1,1,0,2.472,3.114,null,3.555,null,3.178,4,1
2,31,53,0,2,351.000,3,31,0.000,1,1,1,0,1,0,5.500,31.500,0.000,19.250,0.000,185.300,1009.900,0.000,585.000,0.000,0,0,1,0,1,1,1,1,0,1.705,3.450,null,2.958,null,5.861,3,0
2,45,52,1,4,169.000,4,29,0.000,1,4,0,1,1,0,14.650,0.000,40.450,14.250,0.000,618.150,0.000,1820.400,690.000,0.000,1,0,0,1,0,0,0,0,0,2.684,null,3.700,2.657,null,5.130,2,0
2,33,27,1,7,46.000,2,7,0.000,0,4,0,1,0,0,7.250,0.000,29.150,0.000,0.000,243.350,0.000,923.850,0.000,0.000,0,0,0,0,0,0,0,0,1,1.981,null,3.372,null,null,3.829,1,0
1,10,26,0,6,34.000,3,3,0.000,0,1,0,1,0,0,4.850,0.000,27.700,0.000,0.000,41.850,0.000,223.050,0.000,0.000,1,0,0,0,0,0,0,0,0,1.579,null,3.321,null,null,3.526,2,0
2,62,54,1,2,50.000,4,3,0.000,0,2,0,1,1,1,17.250,0.000,48.000,87.500,33.250,1067.800,0.000,2864.150,5455.000,2022.550,1,1,1,1,1,0,1,0,1,2.848,null,3.871,4.472,3.504,3.912,4,1
2,4,35,0,16,161.000,5,6,0.000,1,1,1,1,0,1,3.400,23.750,49.800,0.000,35.750,10.350,103.100,126.950,0.000,135.250,0,1,1,1,1,1,1,1,1,1.224,3.168,3.908,null,3.577,5.081,4,1
1,42,47,1,17,212.000,4,17,0.000,0,2,1,0,1,0,7.450,26.750,0.000,24.750,0.000,320.900,1163.550,0.000,1035.000,0.000,0,0,0,0,1,1,1,0,0,2.008,3.287,null,3.209,null,5.357,3,0
3,27,51,1,3,80.000,5,11,0.000,0,3,0,1,0,0,7.100,0.000,39.400,0.000,0.000,176.200,0.000,1086.650,0.000,0.000,1,0,1,1,0,0,0,0,1,1.960,null,3.674,null,null,4.382,2,0
2,38,42,0,1,30.000,4,7,0.000,1,1,1,0,0,0,13.200,27.500,0.000,0.000,0.000,495.850,1087.900,0.000,0.000,0.000,0,0,0,0,0,1,0,0,0,2.580,3.314,null,null,null,3.401,1,0
3,52,61,1,3,53.000,5,1,0.000,1,2,0,1,1,1,12.250,0.000,38.400,8.750,35.950,631.700,0.000,1884.100,465.000,1971.350,1,1,0,1,0,0,0,1,1,2.506,null,3.648,2.169,3.582,3.970,2,0
3,35,33,0,9,73.000,5,4,0.000,1,1,1,0,1,1,5.850,38.250,0.000,22.250,40.350,216.600,1337.600,0.000,700.000,1423.800,1,1,1,1,1,1,1,1,1,1.766,3.644,null,3.102,3.698,4.290,4,0
3,3,20,1,1,17.000,2,0,0.000,1,4,0,0,0,0,3.750,0.000,0.000,0.000,0.000,12.300,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0,1,1.322,null,null,null,null,2.833,1,1
2,17,33,0,9,23.000,5,3,0.000,0,1,0,1,1,1,10.200,0.000,36.400,14.500,30.900,196.300,0.000,570.900,220.000,529.250,1,1,0,1,1,1,0,0,1,2.322,null,3.595,2.674,3.431,3.135,4,1
1,55,53,1,21,34.000,1,8,0.000,0,2,0,0,0,0,5.700,0.000,0.000,0.000,0.000,304.400,0.000,0.000,0.000,0.000,0,0,0,0,0,1,1,1,0,1.740,null,null,null,null,3.526,3,0
3,43,36,1,5,107.000,1,19,0.000,1,3,1,0,1,0,11.550,12.750,0.000,21.500,0.000,491.550,583.750,0.000,910.000,0.000,1,0,0,0,0,0,0,0,0,2.447,2.546,null,3.068,null,4.673,2,1
2,47,25,1,5,21.000,1,1,0.000,1,2,1,0,1,0,8.650,30.500,0.000,9.000,0.000,426.600,1465.450,0.000,405.000,0.000,0,0,0,0,0,1,1,1,0,2.158,3.418,null,2.197,null,3.045,3,1
3,65,58,0,30,83.000,2,16,0.000,1,1,0,0,1,0,19.300,0.000,0.000,22.750,0.000,1323.200,0.000,0.000,1370.000,0.000,1,0,0,0,0,1,0,0,0,2.960,null,null,3.125,null,4.419,2,0
1,13,20,0,1,17.000,3,0,0.000,0,5,0,1,1,0,3.050,0.000,31.300,14.000,0.000,40.300,0.000,390.600,155.000,0.000,1,0,0,1,1,1,1,1,1,1.115,null,3.444,2.639,null,2.833,4,0
3,64,25,1,4,76.000,3,2,0.000,1,6,0,1,1,0,24.050,0.000,35.400,21.250,0.000,1536.550,0.000,2288.450,1400.000,0.000,1,0,0,0,1,0,1,1,1,3.180,null,3.567,3.056,null,4.331,3,0
2,12,24,0,2,19.000,1,0,0.000,0,1,1,0,1,0,4.000,24.750,0.000,27.250,0.000,46.000,299.000,0.000,295.000,0.000,0,0,0,0,1,1,1,1,0,1.386,3.209,null,3.305,null,2.944,3,1
1,29,32,1,0,49.000,4,3,0.000,1,3,0,1,0,0,6.700,0.000,33.000,0.000,0.000,187.000,0.000,918.250,0.000,0.000,1,0,1,1,0,0,0,0,1,1.902,null,3.497,null,null,3.892,2,1
2,23,47,0,21,173.000,3,22,0.000,1,1,0,0,0,0,7.600,0.000,0.000,0.000,0.000,145.900,0.000,0.000,0.000,0.000,1,0,0,0,1,0,0,1,1,2.028,null,null,null,null,5.153,2,0
2,14,35,0,4,47.000,3,10,0.000,1,1,1,0,0,1,5.000,21.750,0.000,0.000,24.150,76.200,318.200,0.000,0.000,274.000,1,0,0,0,0,0,1,1,1,1.609,3.080,null,null,3.184,3.850,2,1
1,35,61,0,23,41.000,2,11,0.000,0,1,0,0,1,0,9.600,0.000,0.000,9.500,0.000,353.550,0.000,0.000,295.000,0.000,0,0,0,0,0,0,0,0,0,2.262,null,null,2.251,null,3.714,1,0
3,26,39,0,8,105.000,3,13,0.000,1,1,1,0,1,1,6.600,39.750,0.000,37.250,38.250,159.700,1022.450,0.000,1005.000,885.100,1,1,1,0,1,1,1,1,1,1.887,3.683,null,3.618,3.644,4.654,4,0
1,13,54,0,2,31.000,4,2,0.000,0,1,0,0,0,0,5.850,0.000,0.000,0.000,0.000,97.000,0.000,0.000,0.000,0.000,0,1,0,1,0,0,0,0,1,1.766,null,null,null,null,3.434,1,0
2,69,40,1,13,41.000,2,17,0.000,0,3,0,0,1,0,25.250,0.000,0.000,33.000,0.000,1725.100,0.000,0.000,2320.000,0.000,1,0,0,0,0,0,0,0,0,3.229,null,null,3.497,null,3.714,2,0
3,61,50,1,30,102.000,4,9,0.000,1,3,0,0,1,0,12.600,0.000,0.000,12.500,0.000,760.300,0.000,0.000,745.000,0.000,1,0,0,1,0,0,0,0,1,2.534,null,null,2.526,null,4.625,2,0
2,45,22,1,2,36.000,4,0,0.000,1,5,1,1,0,0,9.950,14.750,26.150,0.000,0.000,412.100,663.100,1180.500,0.000,0.000,1,0,0,0,0,0,0,0,0,2.298,2.691,3.264,null,null,3.584,2,1
2,3,37,0,13,24.000,1,3,0.000,1,1,0,0,0,0,2.000,0.000,0.000,0.000,0.000,3.050,0.000,0.000,0.000,0.000,0,1,0,0,0,0,0,1,1,0.693,null,null,null,null,3.178,1,0
2,53,22,0,1,25.000,4,0,0.000,0,2,0,1,1,0,12.050,0.000,27.150,6.500,0.000,666.000,0.000,1469.250,335.000,0.000,1,0,0,1,0,0,0,0,1,2.489,null,3.301,1.872,null,3.219,2,0
1,59,42,0,1,68.000,2,21,0.000,1,1,1,0,1,0,17.300,21.250,0.000,19.250,0.000,997.850,1183.550,0.000,1160.000,0.000,1,0,0,0,1,1,1,1,0,2.851,3.056,null,2.958,null,4.220,3,0
1,13,34,0,11,20.000,3,0,0.000,1,1,0,0,0,0,4.800,0.000,0.000,0.000,0.000,71.050,0.000,0.000,0.000,0.000,0,0,0,1,0,0,0,0,0,1.569,null,null,null,null,2.996,1,0
3,31,31,0,4,48.000,1,15,0.000,0,1,0,0,0,0,3.800,0.000,0.000,0.000,0.000,127.700,0.000,0.000,0.000,0.000,0,0,0,0,0,1,1,1,0,1.335,null,null,null,null,3.871,3,0
