,创建时间,地址,岗位,学历,工作经验,薪资水平
109,2021-12-28 12:08:05,深圳-南山区,Python工程师,本科,5-7年经验,1.5-2万/月
110,2021-12-28 12:05:14,西安-碑林区,Python开发实习生,大专,无需经验,4.5-6千/月
111,2021-12-28 12:04:32,西安-碑林区,Python开发实习生,大专,1年经验,4.5-6千/月
112,2021-12-28 11:59:33,深圳,高级软件工程师(Python),本科,5-7年经验,1.2-2万/月
113,2021-12-28 11:55:04,上海-徐汇区,Python开发工程师,本科,5-7年经验,2-3万/月
114,2021-12-28 11:51:41,南京-雨花台区,Python开发工程师,本科,2年经验,1-1.8万/月
115,2021-12-28 11:48:18,广州-越秀区,Python开发工程师,本科,2年经验,1.5-2.5万/月
116,2021-12-28 11:46:23,上海-长宁区,Python后端开发工程师,本科,2年经验,1.1-1.5万/月
117,2021-12-28 11:46:20,青岛-市南区,Python开发助理 可实习 有住宿,大专,无需经验,0.5-1万/月
118,2021-12-28 11:44:22,广州-天河区,Python编程/乐高老师+均薪1W+福利齐全+就近,本科,无需经验,0.8-1万/月
119,2021-12-28 11:36:32,上海-徐汇区,Python开发工程师/高级开发工程师-03,本科,3-4年经验,2-2.5万/月
120,2021-12-28 11:36:01,深圳-南山区,Python开发工程师,大专,3-4年经验,1.5-2万/月
121,2021-12-28 11:32:47,昆明-呈贡区,Python开发工程师,本科,1年经验,0.9-1.3万/月
122,2021-12-28 11:32:44,广州,python开发工程师（RPA方向）,大专,1年经验,0.7-1.2万/月
123,2021-12-28 11:32:22,广州-荔湾区,Python爬虫工程师,大专,2年经验,0.8-1.5万/月
124,2021-12-28 11:30:37,深圳-龙岗区,Python后端开发工程师,大专,2年经验,1-1.5万/月
125,2021-12-28 11:30:21,成都,Python开发工程师,本科,2年经验,1-2万/月
126,2021-12-28 11:30:16,苏州-工业园区,python后端开发工程师,本科,1年经验,0.8-1.5万/月
127,2021-12-28 11:27:09,广州-海珠区,Python开发工程师,大专,3-4年经验,1.5-2万/月
128,2021-12-28 11:26:32,北京-丰台区,Python开发工程师,大专,1年经验,0.6-1.2万/月
129,2021-12-28 11:26:11,石家庄-桥西区,Python开发工程师,本科,1年经验,1.2-2万/月
130,2021-12-28 11:24:21,广州-番禺区,Python开发工程师（周末双休）,大专,1年经验,6-8千/月
131,2021-12-28 11:23:47,武汉-洪山区,Python开发工程师,本科,1年经验,4.5-6千/月
132,2021-12-28 11:21:56,杭州,Python开发工程师,大专,2年经验,1-1.5万/月
133,2021-12-28 11:19:57,上海-静安区,Python开发工程师,大专,2年经验,1.5-1.9万/月
134,2021-12-28 11:18:47,上海-闵行区,Python开发工程师,本科,3-4年经验,1-2万/月
135,2021-12-28 11:17:21,广州-越秀区,Python开发工程师,本科,1年经验,1-2万/月
136,2021-12-28 11:14:45,成都-高新区,Python开发工程师,本科,1年经验,0.8-1.4万/月
137,2021-12-28 11:13:01,淮安,C++ / Python开发工程师,大专,3-4年经验,0.7-1.2万/月
138,2021-12-28 11:10:48,上海-闵行区,java/python开发工程师,大专,3-4年经验,1-1.5万/月
139,2021-12-28 11:10:27,深圳-福田区,Python开发工程师（深圳）,大专,3-4年经验,1.5-2万/月
140,2021-12-28 11:10:17,长沙-岳麓区,Python开发工程师,本科,1年经验,0.9-1.2万/月
141,2021-12-28 11:09:42,广州-番禺区,Python开发工程师,本科,3-4年经验,1-1.5万/月
142,2021-12-28 11:03:53,常州-新北区,101026-Python开发工程师,本科,2年经验,0.7-1.2万/月
143,2021-12-28 11:02:14,宁波-慈溪市,Python开发工程师,大专,3-4年经验,1-1.5万/月
144,2021-12-28 11:02:13,杭州-滨江区,python爬虫工程师,大专,2年经验,1-1.5万/月
145,2021-12-28 11:00:01,佛山-南海区,初级Python开发(J10648),本科,1年经验,7-8千/月
146,2021-12-28 11:00:01,苏州,Python开发工程师,本科,3-4年经验,1.5-2.5万/月
147,2021-12-28 11:00:53,广州-天河区,年薪25万Python开发工程师,本科,3-4年经验,20-30万/年
148,2021-12-28 11:00:06,广州-海珠区,Python开发工程师,本科,1年经验,0.8-1.5万/月
149,2021-12-28 10:58:03,上海-浦东新区,Python 后端开发,本科,2年经验,1.2-1.8万/月
150,2021-12-28 10:55:55,深圳-南山区,Python中级/高级开发工程师（广州） (MJ003037),本科,3-4年经验,1.3-2.5万/月
151,2021-12-28 10:55:45,苏州-吴江区,软件开发工程师（SW）(Python)(J10728),本科,2年经验,1.5-2万/月
152,2021-12-28 10:55:29,天津-武清区,后端开发工程师（Python） (MJ000598),本科,2年经验,0.8-1.2万/月
153,2021-12-28 10:54:18,长春-净月经济开发区,Python开发工程师,本科,3-4年经验,1-2万/月
154,2021-12-28 10:54:08,上海,Python开发工程师(上海松江),本科,3-4年经验,1.5-2.5万/月
155,2021-12-28 10:53:27,北京-海淀区,python开发工程师-北京,本科,2年经验,1-1.5万/月
156,2021-12-28 10:52:25,上海,Python开发工程师,本科,2年经验,1-1.5万/月
157,2021-12-28 10:51:50,南昌,Python开发工程师,本科,2年经验,1-2万/月
158,2021-12-28 10:51:43,上海-徐汇区,python开发工程师,大专,2年经验,1.2-2万/月
159,2021-12-28 10:49:17,深圳-宝安区,python开发助理/实习生,大专,无需经验,6-8千/月
160,2021-12-28 10:48:55,青岛-高新区,Python开发工程师,本科,无需经验,4-7千/月
161,2021-12-28 10:48:46,广州-黄埔区,Python开发工程师,本科,2年经验,1-1.5万/月
162,2021-12-28 10:48:37,郑州-金水区,Python开发工程师,大专,2年经验,6-8千/月
163,2021-12-28 10:48:22,上海-青浦区,Python开发工程师（圆通科技）,本科,5-7年经验,2-3.5万/月
164,2021-12-28 10:45:08,大连,Python开发工程师,本科,3-4年经验,1-1.5万/月
165,2021-12-28 10:44:51,上海-松江区,Python开发工程师,本科,3-4年经验,1.5-2.5万/月
166,2021-12-28 10:40:33,上海,Python开发工程师,本科,1年经验,1-2万/月
167,2021-12-28 10:40:32,昆山,Python上位机开发高级工程师（苏州佳铭）,本科,3-4年经验,0.8-1.5万/月
168,2021-12-28 10:40:05,上海-松江区,python开发工程师,本科,1年经验,2-3.5万/月
169,2021-12-28 10:39:27,深圳-宝安区,Python开发工程师,本科,2年经验,1.2-2万/月
170,2021-12-28 10:39:12,深圳,Python开发工程师,本科,3-4年经验,1.5-2.5万/月
171,2021-12-28 10:38:51,上海-徐汇区,Python工程师,本科,1年经验,0.8-1.5万/月
172,2021-12-28 10:38:50,东莞-松山湖区,装备软件开发高级工程师-Python,本科,2年经验,1.5-2.5万/月
173,2021-12-28 10:36:45,广州-海珠区,Python开发工程师,大专,2年经验,1-1.6万/月
174,2021-12-28 10:36:04,长沙-岳麓区,高级Python开发工程师(J10353),本科,3-4年经验,1.8-3万/月
175,2021-12-28 10:33:47,合肥-高新区,Python开发工程师,本科,1年经验,0.6-1万/月
176,2021-12-28 10:33:01,武汉-汉阳区,Python开发工程师,大专,3-4年经验,1-1.8万/月
177,2021-12-28 10:32:46,厦门-集美区,后端python开发工程师,本科,2年经验,2-2.5万/月
178,2021-12-28 10:32:13,天津-南开区,Automation Developer （Python）,本科,3-4年经验,1-1.5万/月
179,2021-12-28 10:32:09,南京-雨花台区,软件开发工程师（C++/Python）,硕士,3-4年经验,2-3万/月
180,2021-12-28 10:30:55,上海-浦东新区,高级Python开发工程师（上海）,大专,5-7年经验,1.5-2.5万/月
181,2021-12-28 10:29:15,深圳,Python开发工程师,大专,2年经验,1-1.5万/月
182,2021-12-28 10:28:57,北京-海淀区,Python开发工程师,大专,无需经验,0.6-1.1万/月
183,2021-12-28 10:28:32,上海,Python/Odoo高级开发工程师,大专,3-4年经验,1.5-2万/月
184,2021-12-28 10:25:45,上海-嘉定区,Python开发工程师,本科,1年经验,1-1.5万/月
185,2021-12-28 10:25:33,上海-徐汇区,python开发工程师(J13008),本科,2年经验,1-1.5万/月
186,2021-12-28 10:25:14,成都-青羊区,Python开发工程师,本科,1年经验,0.7-1万/月
187,2021-12-28 10:23:59,珠海-珠海高新区,Python开发工程师,大专,1年经验,0.8-1万/月
188,2021-12-28 10:22:56,北京-朝阳区,Python算法开发工程师,本科,1年经验,0.8-1.5万/月
189,2021-12-28 10:21:12,苏州-工业园区,Python开发工程师,大专,2年经验,1.8-2.5万/月
190,2021-12-28 10:19:20,苏州-工业园区,资深Python研发工程师,本科,5-7年经验,2-3.5万/月
191,2021-12-28 10:19:19,杭州-上城区,python后端开发工程师,本科,3-4年经验,1.5-2.5万/月
192,2021-12-28 10:19:09,大连-高新园区,Python开发工程师,大专,3-4年经验,0.8-1.3万/月
193,2021-12-28 10:18:33,武汉-洪山区,Python开发工程师(J10358),本科,2年经验,0.8-1万/月
194,2021-12-28 10:17:38,广州-荔湾区,Python开发工程师,大专,2年经验,0.8-1万/月
195,2021-12-28 10:17:36,上海-浦东新区,Python 工程师,本科,1年经验,1-1.5万/月
196,2021-12-28 10:17:27,广州-黄埔区,Python开发工程师,本科,3-4年经验,1.5-3万/月
197,2021-12-28 10:17:10,北京-海淀区,Python高级开发工程师,本科,3-4年经验,1.5-2万/月
198,2021-12-28 10:16:45,北京-石景山区,Python工程师,本科,1年经验,1-1.8万/月
199,2021-12-28 10:16:44,南京-玄武区,Python开发工程师,本科,3-4年经验,1.2-2.4万/月
200,2021-12-28 10:16:36,成都-高新区,后端开发工程师（Python/go/PHP）,本科,3-4年经验,1-1.5万/月
201,2021-12-28 10:15:56,上海-徐汇区,Python高级软件开发工程师,本科,3-4年经验,1.5-3万/月
202,2021-12-28 10:14:05,上海-闵行区,python爬虫工程师,本科,3-4年经验,1.5-2.5万/月
203,2021-12-28 10:13:08,南京-建邺区,Python开发工程师（AI）,本科,5-7年经验,1.5-3万/月
204,2021-12-28 10:12:58,上海-徐汇区,python（上海）,本科,3-4年经验,1.4-1.6万/月
205,2021-12-28 10:12:35,杭州-钱塘区,Python开发工程师,本科,无需经验,0.8-1.3万/月
206,2021-12-28 10:12:25,成都-金牛区,Python开发工程师,本科,2年经验,0.8-1.4万/月
207,2021-12-28 10:12:23,上海-浦东新区,Python开发工程师,本科,5-7年经验,2-3万/月
208,2021-12-28 10:11:22,上海-徐汇区,Python数据工程师,本科,2年经验,1.5-2万/月
209,2021-12-28 10:11:13,深圳-南山区,Python研发工程师,大专,3-4年经验,1-2万/月
210,2021-12-28 10:11:03,北京-海淀区,Python开发工程师,本科,2年经验,0.6-1.5万/月
211,2021-12-28 10:10:21,广州,Python开发工程师,大专,3-4年经验,1-2万/月
212,2021-12-28 10:09:59,深圳-宝安区,Python工程师（智能家居公司）,本科,2年经验,1.5-3万/月
213,2021-12-28 10:09:28,上海-浦东新区,Python/Go,本科,3-4年经验,1.8-3万/月
214,2021-12-28 10:09:20,南京,Python开发工程师,本科,2年经验,1-1.5万/月
215,2021-12-28 10:09:10,深圳-宝安区,Python工程师,大专,2年经验,1-1.2万/月
216,2021-12-28 10:07:48,广州-天河区,Python开发工程师,本科,1年经验,1-1.5万/月
217,2021-12-28 10:07:30,上海,Python开发工程师,本科,1年经验,1-2万/月
218,2021-12-28 10:07:05,南京-江宁区,Python开发工程师（双休）,本科,1年经验,1-1.6万/月
219,2021-12-28 10:07:01,广州-天河区,Python,本科,5-7年经验,1.5-2.5万/月
220,2021-12-28 10:06:38,无锡-滨湖区,Python开发工程师,本科,2年经验,0.8-1.5万/月
221,2021-12-28 10:05:42,上海-浦东新区,Python课程研发人员,本科,1年经验,1-1.5万/月
222,2021-12-28 10:05:29,杭州-滨江区,Python人工智能,大专,1年经验,6-8千/月
223,2021-12-28 10:05:10,上海,初级Python开发工程师,本科,2年经验,1-2万/月
224,2021-12-28 10:04:50,深圳-龙岗区,Python软件工程师,本科,3-4年经验,2-2.5万/月
225,2021-12-28 10:04:42,上海-闵行区,Python 后端工程师 (AI 平台),本科,3-4年经验,2.5-3万/月
226,2021-12-28 10:04:28,深圳-龙岗区,Python开发工程师,本科,3-4年经验,1.5-2.5万/月
227,2021-12-28 10:04:25,南京-雨花台区,python开发,大专,2年经验,0.7-1.2万/月
228,2021-12-28 10:04:12,广州-黄埔区,Python 后端开发工程师,本科,3-4年经验,1-2万/月
229,2021-12-28 10:02:58,深圳-南山区,软件工程师 (Python),本科,2年经验,1.6-3.2万/月
230,2021-12-28 10:02:00,苏州,高级Python开发工程师,本科,5-7年经验,1.5-2万/月
231,2021-12-28 10:00:52,青岛-黄岛区,python 爬虫开发,本科,1年经验,5-9千/月
232,2021-12-28 10:00:49,广州-黄埔区,Python开发工程师,本科,2年经验,0.8-1.1万/月
233,2021-12-28 09:58:58,北京-西城区,Python开发工程师,本科,5-7年经验,1.5-2万/月
234,2021-12-28 09:58:15,广州-黄埔区,Python开发工程师,大专,2年经验,1.2-2万/月
235,2021-12-28 09:57:29,苏州-工业园区,Python开发工程师,本科,1年经验,0.7-1.2万/月
236,2021-12-28 09:57:28,深圳-福田区,Python开发工程师,大专,3-4年经验,0.8-1.3万/月
237,2021-12-28 09:56:10,广州-天河区,Python爬虫工程师,本科,2年经验,0.8-1.5万/月
238,2021-12-28 09:55:23,上海-静安区,Python高级开发工程师,本科,3-4年经验,1.5-2.5万/月
239,2021-12-28 09:53:57,武汉-洪山区,Python开发经理,本科,5-7年经验,1.2-1.5万/月
240,2021-12-28 09:53:41,大连-高新园区,python实习生可转正,大专,无需经验,4-6千/月
241,2021-12-28 09:53:41,上海,Python开发工程师,本科,3-4年经验,2-3万/月
242,2021-12-28 09:53:40,杭州-滨江区,python爬虫工程师,本科,1年经验,1.2-2万/月
243,2021-12-28 09:53:39,武汉-洪山区,python开发工程师,大专,1年经验,0.8-1.3万/月
244,2021-12-28 09:53:08,上海-杨浦区,Python开发工程师,本科,2年经验,0.8-1万/月
245,2021-12-28 09:53:00,广州-天河区,Python工程师（游戏压测方向）,本科,1年经验,0.7-1.2万/月
246,2021-12-28 09:52:45,上海-静安区,后端工程师（c/c++工程师/python）,本科,3-4年经验,1.5-2万/月
247,2021-12-28 09:52:27,济南-槐荫区,Python开发工程师,本科,3-4年经验,1-1.5万/月
248,2021-12-28 09:51:48,广州-天河区,大数据开发工程师 (Spark/Python),本科,3-4年经验,1.3-2.3万/月
249,2021-12-28 09:51:43,西安-雁塔区,Python开发实习生,大专,无需经验,4.5-6千/月
250,2021-12-28 09:48:59,成都-武侯区,Python算法工程师双休,大专,3-4年经验,1.5-2.5万/月
251,2021-12-28 09:48:32,广州-天河区,Python爬虫工程师,大专,1年经验,0.7-1.5万/月
252,2021-12-28 09:48:18,重庆-渝北区,中级软件工程师(Python),本科,3-4年经验,0.9-1.3万/月
253,2021-12-28 09:48:14,上海,Python开发工程师,大专,3-4年经验,1.2-2.4万/月
254,2021-12-28 09:47:55,北京-朝阳区,Python软件工程师,本科,2年经验,1.5-2.5万/月
255,2021-12-28 09:47:53,深圳-福田区,Python高级开发工程师,大专,5-7年经验,1.5-2.5万/月
256,2021-12-28 09:46:20,上海-浦东新区,Python人工智能,大专,1年经验,0.8-1万/月
257,2021-12-28 09:45:38,武汉-洪山区,Python爬虫工程师,本科,3-4年经验,0.8-1.5万/月
258,2021-12-28 09:45:18,深圳-福田区,python爬虫工程师,本科,5-7年经验,1.5-2.5万/月
259,2021-12-28 09:44:25,上海-静安区,Python/Odoo开发工程师,本科,3-4年经验,0.9-1.5万/月
260,2021-12-28 09:44:01,上海-浦东新区,Web后端python高级开发工程师,本科,3-4年经验,2-3.5万/月
261,2021-12-28 09:43:38,温州-龙湾区,Python开发工程师,本科,3-4年经验,0.8-1万/月
262,2021-12-28 09:43:20,广州,Python开发工程师,本科,3-4年经验,1.2-1.8万/月
263,2021-12-28 09:43:11,长沙-岳麓区,C/C++/Python,本科,2年经验,1-2万/月
264,2021-12-28 09:42:58,广州-天河区,中级python开发工程师(J10603),本科,1年经验,1-1.5万/月
265,2021-12-28 09:42:55,重庆,Python开发工程师,本科,1年经验,1-1.5万/月
266,2021-12-28 09:42:40,上海,Python后端工程师,本科,3-4年经验,1.5-2万/月
267,2021-12-28 09:42:29,西安-国家民用航天产业基地,Python软件工程师,本科,2年经验,1.1-2万/月
268,2021-12-28 09:42:26,杭州-滨江区,Python开发工程师,本科,3-4年经验,1.5-2万/月
269,2021-12-28 09:42:16,广州-天河区,Python开发工程师,本科,2年经验,0.8-1.3万/月
270,2021-12-28 09:42:09,昆明-官渡区,YX02-Python开发工程师,本科,3-4年经验,0.8-1.2万/月
271,2021-12-28 09:40:56,北京-朝阳区,Python软件开发工程师,本科,3-4年经验,1.5-3万/月
272,2021-12-28 09:40:35,西安-国家民用航天产业基地,Python开发工程师,本科,1年经验,1-2万/月
273,2021-12-28 09:40:34,北京,Python开发工程师,本科,2年经验,1-1.5万/月
274,2021-12-28 09:40:01,成都-高新区,Python开发工程师,本科,3-4年经验,0.8-1.5万/月
