机构编号,医疗机构名称,医疗机构等级,医疗机构类型,医疗机构地址
H11010101956,中国海洋石油集团有限公司医务室,未定级,医务室,北京市东城区朝阳门北大街25号中国海油大厦614A室，北京市东城区东直门外小街6号海油大厦903室
H11010101957,北京市第六医院（北京市东城区交道口社区卫生服务中心、北京市东城区北新桥社区卫生服务中心）,二级,综合医院,北京市东城区交道口北二条36号
H11010101958,北京中研集团东城中医医院,一级,中医（综合）医院,北京市东城区兴化路11号
H11010102137,北京市东城区龙潭街道龙潭北里社区卫生服务站,未定级,社区卫生服务站,北京市崇文区夕照寺街35、37号
H11010102138,北京市东城区妇幼保健计划生育服务中心（北京市东城区妇幼保健院、北京市东城区东四妇产医院）,二级,妇幼保健院,北京市东城区交道口南大街136号，北京市崇文区法华南里25号楼东侧
H11010102139,北京市东城区崇文门外街道都市馨园社区卫生服务站,未定级,社区卫生服务站,北京市东城区兴隆都市馨园13号楼D102-103
H11010102140,北京市隆福医院（北京市东城区老年病医院）北京市东城区景山社区卫生服务中心,三级,中西医结合医院,北京市东城区美术馆东街18号、北京市东城区沙滩后街14号、北京市东城区三眼井胡同乙68号、北京市昌平区东小口镇中滩村290号、北京市朝阳区北苑5号院606号楼
H11010102142,北京同仁堂王府井中医医院,一级,中医（综合）医院,北京市东城区东安门大街23号、北京市东城区东安门大街甲37号
H11010102144,北京市普仁医院,二级,综合医院,北京市崇文区崇文门外大街100号，北京市东城区白桥大街8号楼101，北京市东城区东花市南里东区8号楼104-1至3、201-1至13、202、203-1至2、301-9至12、303
H11010102145,北京普康中医医院,一级,中医（综合）医院,北京市东城区安外黄寺大街2号
H11010102146,北京同仁堂中医医院,二级,中医（综合）医院,北京市东城区西打磨厂街46号
H11010102172,中国中医科学院针灸医院,一级,中医（综合）医院,北京市东城区北新仓18号
H11010102173,商务部国际贸易经济合作研究院管理服务中心卫生所,未定级,卫生所（室）,北京市东城区安外东后巷28号
H11010102174,北京市东城区东华门街道甘雨社区卫生服务站,未定级,社区卫生服务站,北京市东城区西堂子胡同15号
H11010102221,中国农业银行总行医务室,未定级,医务室,北京市东城区建国门内大街69号
H11010102282,北京市东城区北新桥街道民安社区卫生服务站,未定级,社区卫生服务站,北京市东城区民安14号楼
H11010102283,北京市东城区交道口街道交东社区卫生服务站,未定级,社区卫生服务站,北京市东城区土儿胡同10号楼
H11010102284,首都医科大学附属北京口腔医院,三级,口腔医院,北京市东城区天坛西里4号
H11010102286,北京市东城区安定门街道花园社区卫生服务站,未定级,社区卫生服务站,北京市东城区安定门内花园东巷25号
H11010102287,北京市东城区景山街道魏家社区卫生服务站,未定级,社区卫生服务站,北京市东城区东四北大街247号
H11010102288,北京市东城区北新桥街道海运仓社区卫生服务站,未定级,社区卫生服务站,北京市东城区海运仓小区南颂年3号楼
H11010102378,中国民用航空局机关医务室,未定级,医务室,北京市东城区东四西大街155号
H11010102435,北京市人民代表大会常务委员会机关医务室,未定级,医务室,北京市通州区清风路33号
H11010102440,北京市公安局民警门诊部,未定级,综合门诊部,北京市东城区银闸胡同25号（一层、二层和三层东侧）
H11010102458,北京惠民中医儿童医院,一级,其他中医专科医院,北京市东城区珠市口东大街6号
H11010102459,北京航星机器制造有限公司北京东城航星医院,一级,综合医院,北京市东城区和平里东街11号
H11010102460,北京市东城区社区卫生服务中心,未定级,社区卫生服务中心,北京市东城区朝阳门内大街192-1号
H11010102461,北京协和医学院卫生室,未定级,卫生所（室）,北京市东城区东单三条九号
H11010102512,北京金典糖尿病医院,一级,其他专科医院,北京市东城区滨河路1号1层
H11010102694,北京崇文中方中医医院,一级,中医（综合）医院,北京市东城区定安里27号
H11010102695,北京市东四中医医院,一级,中医（综合）医院,北京市东城区东四六条甲62号
H11010102921,北京市东城区东四街道东四三条社区卫生服务站,未定级,社区卫生服务站,北京市东城区东四北大街526一层5101、5122
H11010102927,首都医科大学附属北京同仁医院,三级,综合医院,北京市东城区东交民巷1号、崇文门内大街8号、北京经济技术开发区西环南路2号
H11010102929,中国人民解放军总医院第七医学中心,三级,综合医院,北京市东城区东四十条南门仓路甲5号
H11010102989,中国中医科学院中医门诊部,未定级,中医门诊部,北京市东城区北新仓18号
H11010102993,中国人民解放军总医院京中医疗区,,医院,
H11010103011,中共北京市委机关医务室,未定级,医务室,北京市东城区台基厂大街三号，正义路2号
H11010103061,中海实业公司高碑店基地分公司卫生所,未定级,卫生所（室）,河北省高碑店市迎宾路
H11010103062,三河中海实业有限责任公司燕郊基地分公司医务室,未定级,医务室,三河市燕郊开发区中海实业公司燕郊基地分公司院内
H11010200824,北京按摩医院,二级,按摩医院,北京市西城区宝产胡同7号、36号、18号
H11010200827,北京市回民医院,三级,中西医结合医院,北京市宣武区右安门内大街十一号
H11010200828,北京市宣武中医医院,三级,中医（综合）医院,北京市西城区万明路13号
H11010200829,首都医科大学附属北京友谊医院,三级,综合医院,北京市宣武区永安路95号；北京市通州区潞苑东路101号院；北京市通州区运河东大街57号院3号楼
H11010200830,首都医科大学附属复兴医院,三级,综合医院,北京市西城区复兴门外大街甲20号
H11010200831,北京市西城区首都医科大学附属复兴医院月坛社区卫生服务中心,未定级,社区卫生服务中心,北京市西城区真武庙六里7号
H11010200832,中国医学科学院阜外医院,三级,心血管病医院,北京市西城区北礼士路167号
H11010200833,北京市丰盛中医骨伤专科医院（北京市西城区丰盛医院）,二级,骨伤医院,北京市西城区阜成门内大街306号
H11010200834,北京市监狱管理局清河分局医院,二级,综合医院,京山线茶淀站清河农场五科西街
H11010200835,北京市西城区展览路医院,二级,综合医院,北京市西城区西直门外大街桃柳园西巷16号
H11010200836,北京德胜门中医院,一级,中医（综合）医院,北京市西城区德胜门外大街200号；北京市西城区礼拜寺街25号
H11010200837,中国中医科学院广安门医院西单门诊部,未定级,中医门诊部,北京市西城区横二条二号华恒大厦一、二层
H11010200838,北京金华骨专科医院,一级,骨科医院,北京市西城区阜成门外大街甲41号-2
H11010200839,北京口腔工作者协会西城门诊部,未定级,口腔诊所,北京市西城区阜成门外大街甲26号、甲28号（西楼）甲28号西楼02层02房间
H11010200840,北京市康健科技有限公司门诊部,未定级,综合门诊部,北京市西城区白云观街北里6号楼一层南侧
H11010200841,北京市西城区白云路医院,一级,综合医院,北京市西城区广外小马厂西里1号
H11010200842,北京市西城区白纸坊街道南菜园社区卫生服务站,未定级,社区卫生服务站,北京市西城区白纸坊建功北里4区2号楼旁
H11010200856,北京市西城区德胜街道大街南社区卫生服务站,未定级,社区卫生服务站,北京市西城区六铺炕二区39号楼
H11010200843,北京市西城区白纸坊街道白纸坊胡同社区卫生服务站,未定级,社区卫生服务站,北京市西城区白纸坊西街17号院7号楼102号
H11010200846,北京市西城区白纸坊街道右安门社区卫生服务站,未定级,社区卫生服务站,北京市西城区半步桥街60号院1号楼1层60-1、60-2
H11010200857,北京市西城区德胜街道大街西社区卫生服务站,未定级,社区卫生服务站,北京市西城区德外教场口街9号院7号楼一层
H11010200844,北京市西城区白纸坊街道自新路社区卫生服务站,未定级,社区卫生服务站,北京市西城区白纸坊东街31号院东侧
H11010200847,北京市西城区白纸坊社区卫生服务中心,一级,社区卫生服务中心,北京市宣武区新安中里4号
H11010200858,北京市西城区德胜街道黄寺大街社区卫生服务站,未定级,社区卫生服务站,北京市西城区黄寺大街24号院3号楼西侧平房；19号楼一层107房间
H11010200845,北京市西城区白纸坊街道右内西街社区卫生服务站,未定级,社区卫生服务站,北京市西城区右内西街1号院3号楼3-1东侧
H11010200848,北京市西城区椿树街道椿树园社区卫生服务站,未定级,社区卫生服务站,北京市西城区椿树园小区3号楼甲3号一层
H11010200859,北京市西城区德胜街道德新社区卫生服务站,未定级,社区卫生服务站,北京市西城区新明胡同2号楼一层
H11010200849,北京市西城区椿树街道和平门社区卫生服务站,未定级,社区卫生服务站,北京市西城区和平门4号楼2门110号
H11010200850,北京市西城区椿树社区卫生服务中心,一级,社区卫生服务中心,北京市西城区琉璃厂西街63号64号
H11010200860,北京市西城区德胜街道裕中西里社区卫生服务站,未定级,社区卫生服务站,北京市西城区裕中西里28号楼一层
H11010200851,北京市西城区大栅栏街道东琉璃厂社区卫生服务站,未定级,社区卫生服务站,北京市西城区藏家桥胡同5号、7号
H11010200861,北京市西城区德胜街道双秀社区卫生服务站,未定级,社区卫生服务站,北京市西城区德外马甸南村甲9号
H11010200852,北京市西城区大栅栏街道石头胡同社区卫生服务站,未定级,社区卫生服务站,北京市西城区石头胡同7号
H11010200862,北京市西城区德胜社区卫生服务中心,一级,社区卫生服务中心,北京市西城区德外大街34号
H11010200853,北京市西城区大栅栏街道北火扇社区卫生服务站,未定级,社区卫生服务站,北京市西城区北火扇29号前门
H11010200863,北京市西城区广安门内街道菜西社区卫生服务站,未定级,社区卫生服务站,北京市西城区老墙根街107号3号楼一层
H11010200854,北京市西城区大栅栏社区卫生服务中心,未定级,社区卫生服务中心,北京市西城区煤市街152号
H11010200864,北京市西城区广安门内街道西便门社区卫生服务站,未定级,社区卫生服务站,北京市西城区西便门西里10号楼一层
H11010200855,北京市西城区德胜街道裕中东里社区卫生服务站,未定级,社区卫生服务站,北京市西城区裕民中路甲4号
H11010200865,北京市西城区广安门内街道长椿街西里社区卫生服务站,未定级,社区卫生服务站,北京市西城区长椿街西里15-17号楼之间平房
H11010200866,北京市西城区广安门内街道槐柏树社区卫生服务站,未定级,社区卫生服务站,北京市西城区槐柏树北里6号楼对面
H11010200867,北京市西城区广安门内街道三庙社区卫生服务站,未定级,社区卫生服务站,北京市西城区长椿街东里22号楼对面平房
H11010200869,北京市西城区广内社区卫生服务中心,未定级,社区卫生服务中心,北京市西城区校场五条49号
H11010200870,北京市西城区金融街街道宏汇园社区卫生服务站,未定级,社区卫生服务站,北京市西城区宏汇园小区8号楼4门102室、5门101室
H11010200871,北京市西城区金融街街道文化社区卫生服务站,未定级,社区卫生服务站,北京市抄手胡同12号
H11010200872,北京市西城区金融街街道金融社区卫生服务站,未定级,社区卫生服务站,北京市西城区复兴门南大街丁2号配楼
H11010200873,北京市西城区金融街街道砖塔社区卫生服务站,未定级,社区卫生服务站,北京市西城区砖塔胡同丙56号
H11010200874,北京市西城区金融街街道教育社区卫生服务站,未定级,社区卫生服务站,北京市西城区京畿道小区5号楼一层
H11010200875,北京市西城区金融街街道民康社区卫生服务站,未定级,社区卫生服务站,北京市西城区铜光胡同1.2号
H11010200876,北京市西城区金融街社区卫生服务中心,未定级,社区卫生服务中心,北京市西城区阜成门内大街306号
H11010200887,北京市西城区什刹海街道白米社区卫生服务站,未定级,社区卫生服务站,北京市西城区地外大街133号
H11010200888,北京市西城区陶然亭街道畅柳园社区卫生服务站,未定级,社区卫生服务站,北京市西城区畅柳园小区南华里2楼西
H11010200889,北京市西城区陶然亭街道果子巷社区卫生服务站,未定级,社区卫生服务站,北京市西城区菜市口大街甲2号院4号楼108号
H11010200890,北京市西城区陶然亭街道姚家井社区卫生服务站,未定级,社区卫生服务站,北京市西城区姚家井小区5号楼4门102号
H11010200891,北京市西城区陶然亭社区卫生服务中心,未定级,社区卫生服务中心,北京市西城区陶然亭路12号
H11010200892,北京市西城区陶然亭新兴里社区卫生服务站,未定级,社区卫生服务站,西城区太平街6号3层D-310
H11010200893,北京市西城区天桥街道东经路社区卫生服务站,未定级,社区卫生服务站,北京市西城区东经路104号
H11010200894,北京市西城区天桥街道仁民路社区卫生服务站,未定级,社区卫生服务站,北京市西城区华仁路12号
H11010200895,北京市西城区天桥街道虎坊路社区卫生服务站,未定级,社区卫生服务站,北京市西城区寿长街甲51号
H11010200896,北京市西城区西长安街街道翠花社区卫生服务站,未定级,社区卫生服务站,北京市西城区前细瓦厂31号
H11010200877,北京市西城区康迈骨伤医院,一级,中医专科医院,北京市西城区长椿街12号
H11010200878,北京市西城区牛街街道南线阁社区卫生服务站,未定级,社区卫生服务站,北京市西城区南线阁街21号
H11010200879,北京市西城区牛街街道东里一区社区卫生服务站,未定级,社区卫生服务站,北京市西城区南横西街27号后院平房
H11010200880,北京市西城区牛街街道春风小区社区卫生服务站,未定级,社区卫生服务站,北京市西城牛街小寺街8号院
H11010200881,北京市西城区牛街社区卫生服务中心,未定级,社区卫生服务中心,北京市西城区培育胡同15号
H11010200882,北京市西城区什刹海街道德内社区卫生服务站,未定级,社区卫生服务站,北京市西城区鼓楼西大街220号
H11010200883,北京市西城区什刹海街道鼓楼社区卫生服务站,未定级,社区卫生服务站,北京市西城区旧鼓楼大街大石桥胡同6号
H11010200884,北京市西城区什刹海街道柳荫街社区卫生服务站,未定级,社区卫生服务站,北京市西城区德内大街刘海胡同11号
H11010200885,北京市西城区什刹海街道爱民街社区卫生服务站,未定级,社区卫生服务站,北京市西城区大红罗厂街丙2号后院
H11010200886,北京市西城区什刹海街道西四北社区卫生服务站,未定级,社区卫生服务站,北京市西城区西安门大街84号
H11010200951,北京市西城区展览路街道百万庄社区卫生服务站,未定级,社区卫生服务站,北京市西城区百万庄中里45号
H11010200952,北京市西城区展览路街道百南社区卫生服务站,未定级,社区卫生服务站,北京市西城区北露园2号楼平房
H11010200953,北京市西城区展览路街道洪茂沟社区卫生服务站,未定级,社区卫生服务站,北京市西城区三里河东路A7号楼一层
H11010200954,北京市西城区展览路街道朝阳庵社区卫生服务站,未定级,社区卫生服务站,北京市西城区三里河路甲22号-6号楼旁东平房
H11010200955,北京市西城区展览路街道南礼士路社区卫生服务站,未定级,社区卫生服务站,北京市西城区万明园小区5号楼
H11010200956,北京市西城区展览路街道三塔社区卫生服务站,未定级,社区卫生服务站,北京市西城区展览路甲18号
H11010200957,北京市西城区展览路街道新华里社区卫生服务站,未定级,社区卫生服务站,北京市西城区车公庄大街北里5栋大楼
H11010200958,北京市西城区展览路社区卫生服务中心,未定级,社区卫生服务中心,北京市西城区阜外北大街201号
H11010200960,北京市西城区证仁医院,一级,综合医院,西城区右安门西街临4号
H11010200961,北京市西城区中环广安门口腔门诊部,未定级,口腔门诊部,北京市西城区枣林前街119号楼1层1-2号
H11010200907,北京市西城区右安口腔门诊部,未定级,口腔门诊部,北京市西城区白纸坊西街18-6
H11010200942,北京市西城区月坛街道三里河二区社区卫生服务站,未定级,社区卫生服务站,北京市西城区三里河二区10号楼一层
H11010200943,北京市西城区月坛街道社会路社区卫生服务站,未定级,社区卫生服务站,北京市西城区月坛南街19号院4号楼
H11010200944,北京市西城区月坛街道木樨地社区卫生服务站,未定级,社区卫生服务站,北京市西城区木樨地北里甲3号院3号
H11010200945,北京市西城区月坛街道三里河一区社区卫生服务站,未定级,社区卫生服务站,北京市西城区三里河一区51栋
H11010200946,北京市西城区月坛街道汽南社区卫生服务站,未定级,社区卫生服务站,北京市西城区白云路西里28号楼旁
H11010200947,北京市西城区月坛街道南沙沟社区卫生服务站,未定级,社区卫生服务站,北京市西城区三里河小区南沙沟物业服务楼首层
H11010200948,北京市西城区月坛街道复北社区卫生服务站,未定级,社区卫生服务站,北京市西城区复兴门北大街甲7号楼
H11010200949,北京市西城区月坛街道京安社区卫生服务站,未定级,社区卫生服务站,北京市西城区莲花池东路甲5号院6号楼101室、107室
H11010200950,北京市西城区月坛街道复外24号楼社区卫生服务站,未定级,社区卫生服务站,北京市西城区复外大街24号楼老干部活动室
H11010200897,北京市西城区西长安街街道互助社区卫生服务站,未定级,社区卫生服务站,北京市西城区西单北大街6号
H11010200898,北京市西城区西长安街街道灵境社区卫生服务站,未定级,社区卫生服务站,北京市西城区太仆寺街21号
H11010200899,北京市西城区西长安街社区卫生服务中心,未定级,社区卫生服务中心,北京市西城区油坊胡同52号
H11010200900,北京市西城区新街口社区卫生服务中心,未定级,社区卫生服务中心,北京市西城区后半壁街19号
H11010200901,北京市西城区新街口街道西四北六条社区卫生服务站,未定级,社区卫生服务站,北京市西城区西四北大街135号
H11010200902,北京市西城区新街口街道西里社区卫生服务站,未定级,社区卫生服务站,北京市西城区西里三区甲2号楼2门
H11010200903,北京市西城区新街口街道赵登禹路社区卫生服务站,未定级,社区卫生服务站,北京市西城区赵登禹路54号
H11010200904,北京市西城区新街口街道官园社区卫生服务站,未定级,社区卫生服务站,北京市西城区育强胡同甲20号
H11010200905,北京市西城区新街口街道西三条社区卫生服务站,未定级,社区卫生服务站,北京市西城区宫门口三条甲1号
H11010200906,北京市西城区新街口街道玉桃园社区卫生服务站,未定级,社区卫生服务站,北京市西城区玉桃园三区7号楼1单元101号
H11010200964,北京宣武流动医院,未定级,综合医院,北京市西城区广安门外大街甲2号
H11010200968,中国中医科学院广安门医院第二中医门诊部,未定级,中医门诊部,北京市西城区黄寺大街26号院1号楼一层01057、01059、01063、01065二层02172、02173
H11010202009,中国中医科学院广安门医院（中国中医科学院第二临床医药研究所）,三级,中医（综合）医院,北京市宣武区北线阁5号
H11010202105,北京金诺威物业管理有限公司医务室,未定级,医务室,北京市西城区白广路4-6号
H11010202106,北京市结核病防治所（北京结核病控制研究所）,三级,结核病防治所（站、中心）,北京市西城区新街口东光胡同5号
H11010202107,北京市健宫医院,三级,中西医结合医院,北京市西城区儒福里6号
H11010202108,首都医科大学宣武医院,三级,综合医院,北京市西城区长椿街45号，北京市西城区鸭子桥路47号
H11010202109,中国外文局服务中心医务室,未定级,医务室,北京市西城区百万庄24号院
H11010202110,国务院国有资产监督管理委员会石化离退休干部局卫生所,未定级,卫生所（室）,北京市西城区新明胡同甲8号楼西侧平房
H11010202122,中国共产党北京市委员会党校医务室,未定级,医务室,北京市西城区车公庄大街6号
H11010202179,华电（北京）热电有限公司卫生所,未定级,卫生所（室）,北京市西城区天宁寺西里10号楼
H11010202183,北京大学口腔医院门诊部,未定级,口腔门诊部,北京市西城区西什库大街甲37号，北京市西城区西黄城根北街10号
H11010202184,北京电力工程有限公司卫生所,未定级,卫生所（室）,北京市西城区右内西街2号
H11010202185,北京市西城区白纸坊街道双槐里社区卫生服务站,未定级,社区卫生服务站,北京市西城区平原里21号楼1层1039、2层23001-23003、23035-2303*9、23050、23051
H11010202186,北京长安中西医结合医院,二级,中西医结合医院,北京市西城区枣林前街19号
H11010202193,北京市西城区什刹海社区卫生服务中心,未定级,社区卫生服务中心,北京市西城区正觉胡同甲13号
H11010202199,北京市监狱管理局中心医院,二级,综合医院,北京市西城区右安门东街9号
