price,introduction,icon
32.00,"京东超市
倍思 PD快充20W苹果数据线适用iPhone13/12ProMax/11/XR/8P充电器手机线 苹果PD 20W快充线【颜值爆表款】1米 钨金黑",倍思旗舰店
18.90,京东京造 Type-C数据线 5A超级快充充电线USB-C安卓转接头通用华为Mate30/20/10/P40/小米9/8荣耀1.2米白,京东京造官方自营旗舰店
22.80,品胜 苹果数据线液态硅胶手机充电线器快充适用iphone13/12promax78Ps/11r/xs 1.2米【深海蓝】液态硅胶·升级快充不伤机,品胜数码旗舰店
89.00,OLOEY 一拖三数据线三合一手机充电线器6a快充三线多头华为三头车载三口多用个头车用1.88米加长 「臻黑金1.88米」6A超级闪充-三合一提速99%,OLOEY数码配件旗舰店
13.00,公牛 BULL 安卓数据线Micro USB充电器线 抗折断 适用三星小米红米/安卓手机,公牛数码京东自营旗舰店
17.80,倍思 数据线三合一苹果Type-c安卓手机充电器线一拖三头 适用iPhone13/12/11小米华为p40车载电源线 1.2米 红,倍思（Baseus）京东自营旗舰店
79.00,"京东超市
苹果充电器20W厡装快充线PD套装苹果iPhone11 12ProMax 13手机充电头迈凯亚 苹果20W快充头+苹果USB-C闪充线",迈凯亚旗舰店
29.80,品胜 数据线三合一苹果安卓Type-c手机快充电线器多功能一拖三多头适用iPhone华为小米平板车载 【三口同充不伤机】弹窗包赔 1米深海蓝,品胜数码旗舰店
35.00,品胜数据线三合一 Type-c安卓苹果13手机充电线多功能车载快充适用iPhone12/11/XsMax/XR小米oppo华为收纳线,品胜京东自营旗舰店
59.00,京东自营苹果原装数据线充电线苹果快充京东配送次日达,乔嘉（JoJar）京东自营旗舰店
58.00,"京东超市
卡伦顿 数据线三合一6A华为66W超级快充一拖三支持苹果安卓Type-c三头充电器线套装 1.2米【66W超级快充】低温快充丨不伤电池丨单条",卡伦顿数码旗舰店
26.00,OPPOa11x数据线闪充原装充电器充电线a92s a32 a72 a52 a53快充安卓手机 Type-c快充线【支持10W-18W快充】 原厂盒装,牧申数码官方旗舰店
59.00,"京东超市
苹果数据线充电器线快充线USB电源线iPhone13/12/11/XSMax/XR/7/8p数锐适用 苹果一米线",数锐京东自营旗舰店
29.80,倍思 Type-C数据线100W 2米双Type-C口闪充手机充电器线 适用macbook笔记本华为小米快充加长款20V5A 灰黑,倍思（Baseus）京东自营旗舰店
11.90,安卓数据线 vivo充电器充电线x9x20x21x23适用华为荣耀oppo小米红米三星闪充线驰界 【1米】安卓快充线【安卓通用接口】,佰特利手机配件专营店
39.90,✅【限买一送一丨自营原装正品✅】苹果数据线快充【原充盒装】,索弘京东自营官方旗舰店
85.50,"京东超市
苹果充电器20W快充线PD套装iPhone11 12ProMax 13充电头x数据线插头尊匠 20W快充头+闪充线【30分钟充满50%】1米套装",尊匠京东自营官方旗舰店
26.00,OPPO数据线原装闪充vooc充电线r15 r11 r11s r9splus充电器a9x安卓手机快充 4A闪充线（Micro USB接口）,牧申数码官方旗舰店
32.00,绿联 Type-C数据线6A/5A超级快充100W/66W充电器加长线通用华为P50/Mate40荣耀60Pro小米USB-C安卓车载2m,绿联京东自营旗舰店
9.99,惠寻 三合一数据线Type-C一拖三快充充电线 高品质铜芯苹果安卓通用 黑色,惠寻京东自营旗舰店
15.80,OKSJ Type-c数据线5A充电器线华为手机超级快充 小米8/9/10pro/红米10X/Mate40/P30/20荣耀nova8 1.5米2条装,OKSJ京东自营旗舰店
price,introduction,icon
46.80,苹果数据线厡装充电线充电器头手机快充套装iPhoneX 12 11 8 7p 6s 13尊匠 lightning扁口充电器线-1米,尊匠京东自营官方旗舰店
35.90,"京东超市
【全国仓次日达】第一卫 苹果数据线 手机快充线车载ipad充电线通用于iphone11/12/7/8 店长推荐：1.2米【真金线】全新升级-认证快充",第一卫旗舰店
16.00,OPPO充电线数据线原装a59s a57 a83 k1 a7x r15x a5安卓快充电器 2A快充数据线(品牌原装),牧申数码官方旗舰店
45.00,vivo官方原装 iQOO 原装Type-C胶囊闪充数据线-5A适用于iqooz1z1xneo3x50x50pros7,iQOO京东官方自营旗舰店
18.00,博诺米 定制logo数据线三合一充电线苹果安卓type-c华为手机一拖三车载1.5米伸缩便携快充礼品 中国红【1.5米快充】三合一充电线,博诺米旗舰店
19.90,KOOLIFE 【2条】苹果数据线2米加长 iPhone手机充电线快充lightning车载通用iPad/air/11promax/x/8/7/6splus,KOOLIFE京东自营旗舰店
27.90,小米 原装USB-C数据线100cm 6A充电线白色超级快充 适配USB-C接口手机/平板/游戏机 小米6A快充 1m,淘米家旗舰店
15.50,领臣 苹果数据线1.5米两条快充 适用iPhone13/12Pro Max/11/Xs/XR/SE/8P/7充电线iPad Air/mini,领臣京东自营旗舰店
39.00,"京东超市
倍思数据线三合一苹果充电器线伸缩一拖三头车载快充线适用于iPhone12/Type-C/华为安卓 一拖三伸缩墨绿色",倍思旗舰店
15.80,昊微 一拖三数据线6A超级快充三合一充电线器多功能多头适用华为Mate40多用nova9小米oppo 幸运红【6A超级快充】 2米,扬昇手机配件专营店
16.80,驰界手机数据线适用OPPOK3 K5 R17 Reno系列realmex2闪充线充电快充充电线 type-c闪充 1.5米,安联手机配件专营店
16.90,绿联安卓数据线快充线充电器线2A快充Micro USB充电线通用华为荣耀vivo三星OPPO小米 黑色 升级款 1.5米,绿联旗舰店
22.90,绿联 Type-C数据线 USB3.0安卓快充充电线 usb转type-c 通用3A快充适用华为手机 0.5米 usb3.0,绿联三顺专卖店
49.90,倍思 三合一伸缩数据线 6A快充66W一拖三 适用于苹果iPhone13/12/11小米华为Type-C安卓充电器车载线 黑,倍思（Baseus）京东自营旗舰店
18.00,"京东超市
vivo原装数据线闪充micro充电线适用于X21X23X20X9X7u1安卓快充y70y85y53 【vivo原装】micro接口",华驰诚数码专营店
69.00,倍思 数据线三合一快充 多头一拖三pd快充线 适用Type-c华为苹果13/12promax安卓电脑充电器线 黑,倍思（Baseus）京东自营旗舰店
29.90,闪俏 5A数据线三合一充电器线手机快充一拖三苹果安卓闪充typec三头万能通用车载华为超级快充小米 66W快充线【苹果/安卓/Type-c】黑1.2米,品畅手机配件专营店
24.90,品胜 数据线三合一快充 苹果Type-c安卓手机车载一拖三头充电线USB-C适用iPhone13/12/11小米/oppo华为1.2米,品胜京东自营旗舰店
69.00,图即 华为66W超级快充type-c数据线6A快充线手机充电器线适用华为p30mate40pro 1.5米【66W超级快充线】两条装,图即旗舰店
26.00,OPPO数据线充电线原装闪充 r9splus r11 r15 r11s r9数据线充电器原装闪充快充 4A闪充线【Mirco USB接口】,OPPO酷炫专卖店
12.90,苹果数据线适用iphone12/11pro/Xs Max/XR/SE/8plus快充手机充电器线驰界 【1米】苹果快充,安联手机配件专营店
69.00,三合一数据线充电线一拖三6A/5A多功能type-c多头手机适用苹果vivo3合一数据线快充梵维派 1.2米丨土豪金【100W超级快充】6A快充不伤机,梵维派旗舰店
49.00,"京东超市
苹果数据线充电器线快充线USB电源线适用iPhone13/12/11/XSMax/XR/8p维肯原装 苹果一米线 苹果设备专属",维肯数码旗舰店
16.90,【vivo原装】闪充数据线快充X21X20X23X9X7X6u1充电线vivoy67 原装闪充-一条装,vivo酷虎专卖店
199.00,华为HUAWEI 原装线充套装（充电器+6AType-C数据线）66W Max超级快充 适用Mate 40 Pro/Mate 40 RS/Mate X2,华为京东自营官方旗舰店
27.90,小米原装6A数据线1m长 USB-C快充充电器线适配小米10/10pro红米10X redmi手机 小米 原装USB-C100cm 6A充电线白,京东之家官方旗舰店
44.00,"京东超市
华为原装5a超级快充数据线p30p40mate30 40pro荣耀30nova9 8 7 6充电器线 【买I送I】5A超级闪充Type-c-带防伪",华为鑫楚天专卖店
25.80,"京东超市
品胜 苹果数据线快充液态硅胶手机充电线器iPhone13/12promax/11/X/XR/678P 疾速快充 1.2m 不发烫 | 弹窗包赔 深海蓝",品胜PISEN自营旗舰店
9.90,适用华为Type-c数据线快充5A手机充电器线p20p30pro mate30/40荣耀安卓小米驰界 【5A超级快充】type-c闪充线【1米】,佰特利手机配件专营店
16.90,驰界苹果手机数据线PD快充头充电器线适用于iPhone12/11Pro Max/xs/XR/8充电线 苹果Type-C快充线【20WPD1米闪充版】,佰特利手机配件专营店
39.00,罗马仕数据线三合一6A快充66W充电线器苹果iPhone13/12/11Type-c安卓手机多功能一拖三头小米华为车载,罗马仕京东自营旗舰店
24.80,"京东超市
品胜 Type-C数据线华为5A超级快充66w手机充电器线Mate30pro/P2040/荣耀v10 Top款【5A闪充】1.2米",品胜PISEN自营旗舰店
15.90,数据线快充可伸缩苹果适用iphone华为type-c安卓小米oppovivo手机充电好又齐 一拖三快充线-编织纹红色-1.2米,安联手机配件专营店
8.60,OKSJ 安卓数据线快充vivo手机充电器线 适用华为/小米/魅族/荣耀/oppo/x7/x20/x21闪充USBMicro 买一送一,OKSJ京东自营旗舰店
25.00,倍思（Baseus）安卓数据线2A快充Micro手机电源线充电线USB充电器线支持华为/三星/小米/VIVO/OPPO 1.5米黑色,倍思（Baseus）京东自营旗舰店
12.80,闪俏 Type-c数据线5A超级快充充电器线华为手机闪充线小米oppo电源线铝合金智能带灯数据传输线 Type-c超级快充智能带灯线【黑色】,品畅手机配件专营店
69.00,图即 华为66W超级快充type-c数据线6A快充线手机充电器线适用华为p30mate40pro 1.5米【66W超级快充线】两条装,图即旗舰店
44.00,OPPO 原装闪充Type-C数据线 充电线 支持SuperVOOC闪充 可兼容65W闪充 适用Ace2/Reno7/6/5/A93/K9/Find X3,OPPO京东自营官方旗舰店
65.00,"京东超市
品胜 数据线三合一充电线6A一拖三伸缩5A手机快充多头充电器三合一66w华为苹果安卓type-c闪充 风趣蓝丨6A快充不弹窗丨伸缩易整理",品胜PISEN自营旗舰店
5.80,艾胜者 安卓数据线超级快充Micro USB适用vivo华为Mate8荣耀小米oppo闪充手机充电线 安卓接口【快充】1条装 1米,艾胜者旗舰店
59.00,"京东超市
苹果数据线厡装充电线快充手机充电器线iphone13/12/11/XS/XR/7/8p/X维肯 苹果一米线",维肯Viken京东自营旗舰店
39.00,倍思 苹果充电器PD20W快充套装 兼容18W充电头 适用于iPhone13Pro/12/11/XsMax/ipad华为小米配 黑,倍思（Baseus）京东自营旗舰店
22.90,绿联 Type-C数据线 USB3.0安卓快充充电线 usb转type-c 通用3A快充适用华为手机 0.5米 usb3.0,绿联三顺专卖店
17.80,三合一5A快充数据线一拖三66W支持苹果iphone华为Type-c安卓小米oppo手机充电器好又齐 【5A超级快充】三合一,佰特利手机配件专营店
16.90,炫创飞 数据线安卓快充手机充电线适用华为三星OPPO小米vivo魅族USB线 质银灰 1.5米【2条】,爱美声旗舰店
18.80,罗马仕 苹果数据线快充充电线适用iPhone13/12/11Pro Max/xs/xr//8p/7/6/iPadPro/Air2/mini平板车载器线,罗马仕京东自营旗舰店
15.80,品胜（PISEN）安卓数据线 1.5米 Micro USB手机充电线 适用于华为/小米/vivo//oppo/荣耀/红米/魅族 白色,品胜京东自营旗舰店
29.90,"京东超市
【次日达】SN一加8充电线9/8/7Pro/7t/6/6t/5/5t数据线1+闪充线充电器线快充 一加6A闪充 一加DASH闪充USB转Type-C",京造手机配件专营店
19.90,【2米加长】苹果快充线⭐2条装✅纯铜芯✅线头加固✅不弹窗,KOOLIFE京东自营旗舰店
13.90,德力普 数据线三合一5A快充适用苹果Type-c安卓手机iPhone小米华为平板车载一拖三闪充充电线 单条装【蒂芙尼蓝】5A超级快充|带夜灯 1米,德力普手机配件旗舰店
2.00,浪翔 一拖三数据线三合一充电线器液态硅胶快充手机适用于苹果安卓type-c三头车载多功能多头多用 三合一液态快充线,浪翔旗舰店
79.00,绿联 MFi认证 苹果充电器套装 PD20W快充头+PD数据线通用iPhone13ProMax/12/11ipad mini平板type-c插头,绿联京东自营旗舰店
27.90,小米 原装USB-C数据线100cm 6A充电线白色超级快充 适配USB-C接口手机/平板/游戏机 小米6A快充 1m,淘米家旗舰店
13.90,苹果数据线适用iphone13/12Pro/11/XsMax/XR/8plus手机PD充电器线头驰界 【1米】苹果快充,佰特利手机配件专营店
33.80,五浩 type-c数据线加长5m快充适用华为安卓vivo小米OPPO荣耀USB手机充电线器套装超长线 5米【黑金】type-c,亦恒手机配件专营店
19.90,斯泰克 数据线三合一6A快充66W支持华为苹果Type-c安卓手机充电器线iPhone13/oppo/小米/vivo通用一拖三,斯泰克（STIGER）京东自营旗舰店
5.90,纽曼（Newmine）安卓数据线 手机充电线 Micro USB充电器线 1米 支持华为小米vivo/oppo红米三星魅族,纽曼手机配件京东自营旗舰店
39.90,顾胜 手机三合一充电线 苹果/安卓Type-C一拖三快充线多头三合一数据线华为小米三星通用 钛空银【苹果/安卓/Type-c】三合一快充,顾胜旗舰店
29.00,倍思 苹果数据线快充弯头数据线手机充电器线适用iPhone13/12/11/XR/8/7/6s plus/ipad加长电源线3米 蓝,倍思（Baseus）京东自营旗舰店
8.90,罗马仕 CB308 type-c数据线充电宝短线0.2米便携USB-C适用于小米10/9华为Mate30/P303A快充线转接线,罗马仕京东自营旗舰店
price,introduction,icon
16.00,OPPO 原装MicroUSB数据线 充电线 安卓电源线 手机充电器线 适用于R系列手机 USB普充,OPPO京东自营官方旗舰店
189.00,小米充电宝 原装20000毫安时 移动电源 50W PD快充适配小米/红米手机 充电宝内含,小米京东自营旗舰店
14.80,适用vivo数据线闪充iQOO充电器头Nex/X27/X30/Z6/S7/X50手机快充充电线好又齐 【1米】5A Type-C闪充线,佰特利手机配件专营店
35.80,"京东超市
品胜 数据线三合一66W超级快充电器线苹果安卓type-c多功能一拖三车载平板闪充13/12/华为 深海蓝1m | 3合1疾速快充|不伤电池",品胜PISEN自营旗舰店
24.90,品胜 type-c数据线华为充电线快充5a闪充40W通用P50Pro/Mate30/nova9荣耀小米K40一加USB-C安卓车载2米,品胜京东自营旗舰店
29.90,适用华为充电器40W超级快充头数据线套装手机mate30/20 p30p40pro荣耀22.5w承简 22.5W超级快充头+5A快充线【1米,金合辉手机配件专营店
27.90,小米 原装USB-C数据线100cm 6A充电线白色超级快充 适配USB-C接口手机/平板/游戏机 小米6A快充 1m,淘米家旗舰店
55.00,绿联 MFi认证 苹果数据线PD快充线适用iPhone13Pro/12/11手机USB-C 20W充电器Type-C to Lightning充电线,绿联京东自营旗舰店
36.00,倍思 Type-C数据线100W/66W超级快充华为充电线6A适用P50/Mate40/荣耀60Pro小米快充线 2米 黑,倍思（Baseus）京东自营旗舰店
59.00,"京东超市
苹果充电器厡装数据线充电线手机快充插头套装iphone11/12/7p/8plus/X/Xs/6维肯 【苹果标配】苹果充电头+2条苹果【厡盒装】",维肯数码旗舰店
29.00,绿联 USB3.0数据线Type-C快充线接移动硬盘传输充电器线通用华为P50/Mate40Pro/30荣耀50pro小米11安卓1m,绿联京东自营旗舰店
16.90,倍思 苹果数据线1.5米快充两条装 适用iphone13/12/11Pro/XSMax/XR/SE2/7/8/iPad Air/mini充电器线 白,倍思（Baseus）京东自营旗舰店
22.90,唯淘帅 安卓数据线快充电线加长3米5米适用vivo三星小米华为魅族Micro接口手机 黑色 2米,苏阳数码专营店
15.50,领臣 Type-c数据线5A超级快充1.5米2条装适用华为手机充电线P50/Mate40pro荣耀nove8小米/红米安卓车载白,领臣京东自营旗舰店
12.90,苹果数据线手机充电器线适用iphone12/11Pro/Xs Max/XR/SE/8plus好又齐 【1米】苹果USB充电,佰特利手机配件专营店
59.00,"京东超市
苹果数据线充电器线快充线iPhone13/12/11/XSMax/XR/7/8p中尚原装Apple 苹果一米线",中德尚信数码专营店
34.90,倍思 苹果数据线PD快充2条装20W/18W 加固加粗不伤机 支持iphone13/12/11/xsmas/xr/ipad充电器线1.5米白,倍思（Baseus）京东自营旗舰店
29.90,三合一数据线6A超级快充66W伸缩一拖三适用苹果13小米 安卓 华为type-c手机车载充电线器驰界 【6A超级快充】三合一伸缩-黑色,佰特利手机配件专营店
79.00,OLOEY 一拖三数据线三合一伸缩苹果安卓type-c通用多功能手机快充充电线器车载苹果x华为小米 1.2米红色【苹果+安卓+type-c】,OLOEY数码配件旗舰店
19.90,适用华为Type-c数据线快充5A手机充电器线p20p30promate30/40荣耀加长小米豪闪原 【5A超级快充】type-c闪充线【1米】,豪启资手机配件专营店
69.00,米享 充电线三合一充电器线一拖三数据线超级快充套装多功能多用适用华为苹果安卓通用小米 1.2米【1条装不带头】超级快充三合一,米享旗舰店
29.90,KOOLIFE 苹果数据线 20WPD充电线快充闪充Type-C转换线通用iPhone13/12/11/ProMax充电器套装可搭配,KOOLIFE京东自营旗舰店
69.00,Anker安克 MFi认证苹果快充PD20W数据线 iPhone13/12/11/8手机USB-C/Type-C to Lightning充电器快充头线0.9m,Anker京东自营旗舰店
24.90,倍思(Baseus) 苹果数据线 手机充电器电源线 适用iPhone13/12/11/7/8/XR新iPad/Air/Mini 3/4 深灰+黑 2米,倍思（Baseus）京东自营旗舰店
168.00,OLOEY数据线三合一快充充电器一拖三车载万能5A超级快充手机多头多功能适用苹果华为type-c安卓 5A快充三合一（绅士蓝2米）+80W超级快充车载充,OLOEY数码配件旗舰店
24.90,"京东超市
品胜 苹果数据线PD快充线20W适用iPhone13/12/11/X/SE2/XS/8p手机充电器线 PD20W【苹果快充1米】弹窗包赔丨一年换新",品胜PISEN自营旗舰店
69.00,倍思 100W三合一数据线苹果pd安卓Type-c充电线usb转二拖三多头适用华为笔记本 【灰黑色】1.2米】USB/typec转三合一,倍思旗舰店
25.00,"京东超市
华为原装Type-C数据线手机充电器线P40P30P20P10mate10荣耀v8v9v10小米通用 【快充】Type-C 1.0米白色",华驰诚数码配件专营店
85.00,"京东超市
品胜 数据线三合一PD100W快充一拖三支持苹果iphone华为Type-c\/安卓荣耀充电器线通用 1.2m魔幻黑 100W快充|大电流不伤机弹窗包赔",品胜PISEN自营旗舰店
39.90,绿联 双头Type-C数据线PD100W 5A快充充电器c to c长线通用ipad苹果MacBookpro华为笔记本电脑Switch小米,绿联京东自营旗舰店
22.90,唯淘帅 安卓数据线快充电线加长3米5米适用vivo三星小米华为魅族Micro接口手机 黑色 2米,苏阳数码专营店
19.00,"京东超市
华为原装数据线安卓手机适用mate8荣耀20i play3 8x 9i7畅玩8C 9A畅享10充电线 【Micro接口】安卓快充线1米",华驰诚数码专营店
129.00,"京东超市
Apple苹果数据线PD快充线原装20w充电器线iphone13/12Pro Max/11/X充电线 充电线1米【单线不含头】",大商无算数码专营店
19.90,品胜type-c数据线PD60W双头c to c快充充电线3a通用苹果iPadPro/MacBook小米华为荣耀平板笔记本电脑车载,品胜京东自营旗舰店
39.00,"京东超市
vivo数据线原装NEX X27X30闪充X50X60快充type-c充电线iQOOneo vivo原装type-c 3A",酷虎数码专营店
79.00,绿联 数据线三合一MFi认证苹果Type-C安卓通用iPhone13/12/11/XR/Xs小米华为手机快充电线车载一拖三转接头,绿联京东自营旗舰店
109.00,OLOEY typec数据线弯头华为mate40充电线66w手机6a超级快充0.5/1/2/3米加长 车充套装【3米6A快充线+66W快充头】,OLOEY数码配件旗舰店
49.00,"京东超市
数锐华为数据线Type-c充电器线p30/40pro/mate10/20/30快充5A适用小米 华为5A一米线【Type-C】",数锐京东自营旗舰店
9.90,摩米士MOMAXType-C数据线 炫彩编织安卓快速充电线适用于华为小米三星荣耀等 1米深空灰,摩米士京东自营旗舰店
15.60,驰界三合一数据线一拖三超级快充支持苹果华为Type-c安卓手机充电器线iPhone13/12 【5A超级快充】三合一,佰特利手机配件专营店
39.00,绿联 Type-c数据线公对公 华为5A快充PD100w 弯头充电线适用华为苹果笔记本 双弯头 5A快充PD100W-1米,绿联旗舰店
39.00,绿联Type-C安卓二合一数据线充电线一拖二多头两用适用oppo华为P30/20荣耀V20小米9 Type-C+安卓二合一 1米,绿联旗舰店
89.00,OLOEY 弯头PD20W数据线手游快充线适用于苹果iphone13/12手机充电线 PD20W手游快充线【2米】【苹果弯头款】,OLOEY数码配件旗舰店
79.00,绿联 双头Type-C全功能数据线PD100W快充线4K投屏视频线通用苹果华为荣耀笔记本电脑 【PD100W快充Type-C3.1gen2】1米,绿联旗舰店
32.90,"京东超市
倍思 PD快充20W苹果数据线 通用iPhone13/12/ProMax/11/SE手机充电器快充线 苹果PD 20W快充线【2条】1.5米 白色",倍思旗舰店
15.80,华为Type-c数据线40W快充手机充电器线适用p10p20p30p40pro荣耀305A数据线驰界 【1.5米】Type-C 5A闪充线,安联手机配件专营店
29.00,"京东超市
白狗 小米数据线120W充电线红米67w快充Pro+至尊版小数点极速手机闪充 小米11/10/11Pro/K30s橙色芯1米 闪充",白狗官方旗舰店
9.90,小米数据线type-c5A充电线手机快充华为荣耀小米10/98note7k2030pro车载通用驰界 【1米装】Type-c5A,安联手机配件专营店
89.00,OLOEY 超级快充闪充数据线2.0米超长三合一手机充电器线苹果安卓type-c华为通用一拖三 三合一【5A超级快充闪充线】2.0米黑色,OLOEY数码配件旗舰店
9.90,OKSJ type-c数据线快充华为6A/5A充电器线 适用Mate40Pro/P40/30/20/荣耀/小米8/9/10三星车载66w闪充,OKSJ京东自营旗舰店
23.80,苹果数据线PD快充20Wusb-c充电器线iPhone13/12Pro/XsMax/11/xr迅美乐 【1米】20W USB-CPD新款快充线 PD快充支持8/8p/xr/11/12/13max,慧兴手机配件专营店
12.00,科玛科 伸缩三合一充电线快充一拖三数据线车载华为oppo小米手机适用于苹果安卓typec接口 三合一充电线【中国红】苹果/安卓/Type-c 伸缩充电线,科玛科手机配件旗舰店
13.90,毕亚兹 苹果数据线iphone13/XsMax/XR手机快充充电器线USB电源线 锌合金1.2米K8黑 支持苹果12/11Pro,毕亚兹(BIAZE)京东自营旗舰店
